"","index","semester","type","course","pre_post","si1","si2","si3","si4","si5","science_id_ave","cm1","cm2","cm3","cm4","cm5","career_mot_ave","im1","im2","im3","im4","im5","intrinsic_mot_ave","sd1","sd2","sd3","sd4","sd5","self_determition_ave","se1","se2","se3","se4","se5","self_efficacy_ave","gm1","gm2","gm3","gm4","gm5","grade_mot_ave","overall_sci_mot","sci_comp1","sci_comp2","sci_comp3","sci_comp4","sci_competancy_ave","per_comm_orient1","per_comm_orient2","per_comm_orient3","per_comm_orient4","persol_comm_orient_ave","sci_comm_orient1","sci_comm_orient2","sci_comm_orient3","sci_comm_orient4","sci_comm_orient_ave","resilience1","resilience2","resilience3","resilience4","resilience_ave","major","career","gender","ethnicity","parents_grad_college","dependents","med_condition","med_condition_dependent"
"1",1,"Fall 2021","Major","BIOL1610","Pre",5,5,5,3,3,4.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,5,3.5,5,6,6,4,5.25,5,5,5,5,5,NA,NA,NA,NA,NA,"Biology","medical_doctor","male","biracial","No",0,"No","No"
"2",2,"Fall 2021","Major","BIOL1610","Pre",5,4,3,4,4,4,4,3,3,5,5,4,5,3,3,4,4,3.8,5,4,5,4,4,4.4,4,5,4,5,5,4.6,4,4,5,4,4,4.2,4.2,3,3,3,3,3,5,5,5,5,5,4,5,5,5,4.75,NA,NA,NA,NA,NA,"Biology","medical_doctor","two_spirited","biracial","No",0,"No","No"
"3",3,"Fall 2021","Major","BIOL1610","Pre",4,4,3,3,1,3,2,2,2,2,4,2.4,2,4,3,3,1,2.6,2,2,3,3,3,2.6,2,2,2,2,2,2,2,2,2,2,3,2.2,2.36,4,4,4,4,4,5,4,4,4,4.25,4,4,4,4,4,NA,NA,NA,NA,NA,"Other",NA,"male","african_american","Yes",0,"No","No"
"4",4,"Fall 2021","Major","BIOL1610","Pre",2,4,2,4,3,3,1,1,1,1,1,1,4,4,4,4,5,4.2,5,5,4,4,3,4.2,4,4,4,4,4,4,5,5,5,5,4,4.8,3.64,3,4,1,4,3,5,6,6,6,5.75,5,5,5,5,5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","No",0,"No","No"
"5",5,"Spring 2022","Non-Major","BIOL1010","Pre",3,5,5,5,3,4.2,2,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,3,5,5,5,4.5,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,"Other",NA,"male","arab","Yes",0,"No","No"
"6",6,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,3,4,4,3.6,1,2,2,1,2,1.6,1,1,3,3,1,1.8,2,2,2,3,2,2.2,3,3,3,2,2,2.6,4,2,2,2,3,2.6,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Fall 2021","Major","BIOL1610","Pre",1,2,1,1,3,1.6,4,4,4,4,5,4.2,4,3,2,4,2,3,4,2,4,4,4,3.6,4,5,4,5,5,4.6,5,5,5,5,4,4.8,4.04,3,1,1,1,1.5,5,6,6,6,5.75,3,3,3,3,3,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
"8",8,"Fall 2021","Non-Major","BIOL1010","Pre",5,5,5,5,5,5,5,5,5,4,3,4.4,5,5,5,5,5,5,4,4,4,4,4,4,3,2,2,2,4,2.6,5,4,5,4,4,4.4,4.08,3,5,3,5,4,7,7,7,6,6.75,6,7,6,7,6.5,NA,NA,NA,NA,NA,"Non_STEM",NA,"female","white","Yes",0,"No","No"
"9",9,"Fall 2021","Major","BIOL1610","Pre",4,5,4,5,5,4.6,5,5,5,5,5,5,5,4,5,4,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4.6,4.84,2,2,2,2,2,5,6,6,6,5.75,5,5,5,5,5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","No",0,"Yes","No"
"10",10,"Fall 2021","Major","BIOL1610","Pre",3,4,3,3,3,3.2,4,5,5,4,5,4.6,4,4,3,3,4,3.6,4,4,4,3,3,3.6,3,4,3,4,4,3.6,5,4,4,5,5,4.6,4,2,3,3,4,3,5,5,5,6,5.25,6,5,5,5,5.25,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","No",0,"No","No"
"11",11,"Fall 2021","Non-Major","BIOL1010","Pre",2,3,2,3,3,2.6,4,5,4,5,4,4.4,3,2,3,2,3,2.6,3,4,4,4,4,3.8,3,2,3,3,4,3,5,4,5,4,4,4.4,3.64,1,3,2,2,2,6,7,7,7,6.75,6,7,7,7,6.75,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","male","biracial","Yes",0,"No","No"
"12",12,"Fall 2021","Non-Major","BIOL1010","Pre",4,5,5,5,4,4.6,5,5,5,5,5,5,5,5,4,4,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.92,5,4,4,3,4,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","female","white","Yes",0,"No","No"
"13",13,"Fall 2021","Non-Major","BIOL1010","Pre",4,4,3,4,3,3.6,4,5,5,5,5,4.8,5,5,5,4,4,4.6,3,3,3,3,2,2.8,4,5,4,4,4,4.2,5,5,5,5,4,4.8,4.24,3,1,1,3,2,6,5,7,6,6,6,7,6,6,6.25,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
